"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"X1";"Crystal_HC49-SD_SMD";1;"16MHz";;;
2;"U2";"S3860M-S";1;"S3860M-S";;;
3;"R23,R8,R20,R21";"R_0805_HandSoldering";4;"22k";;;
4;"U1";"SOT-223-REGULATOR";1;"78L05";;;
5;"C1,C2";"C_0805_HandSoldering";2;"22p";;;
6;"C3,C4,C5,C12,C7,C8";"C_0805_HandSoldering";6;"100n";;;
7;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA88-A";;;
8;"P2";"Pin_Header_Straight_2x03";1;"SPI";;;
9;"R1,R2,R4,R3,R7";"R_0805_HandSoldering";5;"3k3";;;
10;"R30,R29";"R_0805_HandSoldering";2;"10k";;;
11;"R5";"R_0805_HandSoldering";1;"27";;;
12;"R6";"R_0805_HandSoldering";1;"1M";;;
13;"C6,C19,C20,C21";"c_elec_5x5.8";4;"10m/16V";;;
14;"C9,C14";"c_elec_6.3x5.7";2;"47m/25V";;;
15;"C10";"c_elec_6.3x7.7";1;"100m/25V";;;
16;"C11";"TantalC_SizeD_EIA-7343_HandSoldering";1;"47m/25V";;;
17;"C13";"TantalC_SizeA_EIA-3216_HandSoldering";1;"2m2/16V";;;
18;"R9,R10";"R_0805_HandSoldering";2;"39R";;;
19;"R11,R12,R15,R18,R22,R24,R28";"R_0805_HandSoldering";7;"47k";;;
20;"R13,R14,R26";"R_0805_HandSoldering";3;"330";;;
21;"R16,R17";"R_0805_HandSoldering";2;"100k";;;
22;"U3";"SOIC-8-N";1;"LM358";;;
23;"L1";"SMD-1210_Pol";1;"INDUCTOR";;;
24;"C15,C16,C17,C18";"C_0805_HandSoldering";4;"33p";;;
25;"R19,R25";"R_0805_HandSoldering";2;"4k7";;;
26;"D1";"MiniMELF_Handsoldering";1;"1N4148";;;
27;"C22";"C_1206_HandSoldering";1;"4u7/10V";;;
28;"C23";"C_0805_HandSoldering";1;"1u/10V";;;
29;"L2";"SMD-1206_Pol";1;"15n";;;
30;"R27";"R_0805_HandSoldering";1;"2k7(3k3)";;;
31;"C24";"TantalC_SizeA_EIA-3216_HandSoldering";1;"2u2";;;
32;"C25";"TantalC_SizeA_EIA-3216_HandSoldering";1;"2u1";;;
33;"Q1";"SOT-23";1;"BC817-40";;;
34;"P1";"Pin_Header_Straight_1x11";1;"CONN_9";;;
